"type","council","fmp","fmp_short","stock_orig","stock","stock_type","comm_name","area","overfishing","overfished","overfished_close","mgmt_action","rebuilding_progress","bbmsy","points"
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Atlantic sharpnose shark - Atlantic","Atlantic sharpnose shark - Atlantic","stock","Atlantic sharpnose shark","Atlantic","No","No","No","NA","NA",2.08,4
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Atlantic sharpnose shark - Gulf of Mexico","Atlantic sharpnose shark - Gulf of Mexico","stock","Atlantic sharpnose shark","Gulf of Mexico","No","No","No","NA","NA",1.02,4
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blacknose shark - Atlantic","Blacknose shark - Atlantic","stock","Blacknose shark","Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 8 of 30-year plan",NA,1
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blacktip shark - Atlantic","Blacktip shark - Atlantic","stock","Blacktip shark","Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,0
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Blacktip shark - Gulf of Mexico","Blacktip shark - Gulf of Mexico","stock","Blacktip shark","Gulf of Mexico","No","No","No","NA","NA",2.62,4
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Finetooth shark - Atlantic and Gulf of Mexico","Finetooth shark - Atlantic and Gulf of Mexico","stock","Finetooth shark","Atlantic and Gulf of Mexico","No","No","No","NA","NA",1.3,4
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Great hammerhead - Atlantic and Gulf of Mexico","Great hammerhead - Atlantic and Gulf of Mexico","stock","Great hammerhead","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,0
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Lemon shark - Atlantic and Gulf of Mexico","Lemon shark - Atlantic and Gulf of Mexico","stock","Lemon shark","Atlantic and Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,0
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Sandbar shark - Atlantic and Gulf of Mexico","Sandbar shark - Atlantic and Gulf of Mexico","stock","Sandbar shark","Atlantic and Gulf of Mexico","No","Yes","NA","Continue Rebuilding","Year 16 of 66-year plan",0.77,2
"FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Highly Migratory Species","Scalloped hammerhead - Atlantic and Gulf of Mexico","Scalloped hammerhead - Atlantic and Gulf of Mexico","stock","Scalloped hammerhead","Atlantic and Gulf of Mexico","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 8 of 10-year plan",0.45,1
