council_short,FMP_FEP,stock,hcr_type,biomass_limit,p_star,abc_buffer,acl_buffer,act_buffer
CFMC,Caribbean Queen Conch FMP,Queen conch,Constant catch,0,NA,0.90248050585312,0,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Angelfish,Constant catch,0,NA,0,0.25,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Angelfish,Constant catch,0,NA,0,0.25,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Angelfish,Constant catch,0,NA,0,0.25,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Goatfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Goatfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Goatfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,Catch prohibited,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,Catch prohibited,0,NA,0,NA,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,Catch prohibited,0,NA,0,NA,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Grunts,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Jacks,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Jacks,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Jacks,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,Catch prohibited,0,NA,0,NA,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Parrotfish,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,Catch prohibited,0,NA,0,NA,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Parrotfish,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,Catch prohibited,0,NA,0,NA,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Parrotfish,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Scups & Porgies,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Scups & Porgies,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Scups & Porgies,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 1,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 2,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 3,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Snapper Unit 4,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Snappers,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Constant catch,0,NA,0,0.15000000000000002,0
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,Constant catch,0,NA,0,0.09999999999999998,0
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,Constant catch,0,NA,0,0.09999999999999998,0
