"type","council","fmp","stock","comm_name","area","overfishing","overfished","overfished_close","mgmt_action","rebuilding_progress","bbmsy","points"
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Cobia - Gulf of Mexico","Cobia","Gulf of Mexico","Yes","No","No","Reduce Mortality","NA",0.69,2
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","King mackerel - Gulf ofMexico","King mackerel","Gulf ofMexico","No","No","No","NA","NA",0.92,4
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Spanish mackerel - Gulf ofMexico","Spanish mackerel","Gulf ofMexico","No","No","No","NA","NA",1.84,4
"FSSI","SAFMC/GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Spanish mackerel - SouthernAtlantic Coast","Spanish mackerel","SouthernAtlantic Coast","No","No","No","NA","NA",1.49,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","Black grouper - SouthernAtlantic Coast / Gulf ofMexico","Black grouper","SouthernAtlantic Coast / Gulf ofMexico","No","No","No","NA","NA",1.4,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","Mutton snapper - SouthernAtlantic Coast / Gulf ofMexico","Mutton snapper","SouthernAtlantic Coast / Gulf ofMexico","No","No","No","NA","NA",1.13,4
"FSSI","SAFMC/GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","Yellowtail snapper - SouthernAtlantic Coast / Gulf ofMexico","Yellowtail snapper","SouthernAtlantic Coast / Gulf ofMexico","No","No","No","NA","NA",1.42,4
"FSSI","WPFMC","American Samoa Archipelago Ecosystem","American Samoa BottomfishMulti-species Complex","American Samoa BottomfishMulti-species Complex",NA,"Yes","Yes","NA","Reduce Mortality, Rebuilding Program","NA",0.38,1
"FSSI","WPFMC","Hawaii Archipelago Ecosystem","Green jobfish - MainHawaiian Islands","Green jobfish","MainHawaiian Islands","No","No","No","NA","NA",2.45,4
"FSSI","WPFMC","Hawaii Archipelago Ecosystem","Main Hawaiian Islands Deep7 Bottomfish Multi-speciesComplex","Main Hawaiian Islands Deep7 Bottomfish Multi-speciesComplex",NA,"No","No","No","NA","NA",NA,4
"FSSI","WPFMC","Mariana Archipelago Ecosystem","Guam Bottomfish Multi-species Complex","Guam Bottomfish Multi-species Complex",NA,"No","Yes","NA","Rebuilding Program","NA",0.58,2
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Albacore - North Atlantic","Albacore","North Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Bigeye tuna - Atlantic","Bigeye tuna","Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 22 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Blacknose shark - Gulf of Mexico","Blacknose shark","Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Blue marlin - Atlantic","Blue marlin","Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 20 of 28-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Blue shark - North Atlantic","Blue shark","North Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Bluefin tuna - Western Atlantic","Bluefin tuna","Western Atlantic","No","Unknown","NA","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Bonnethead - Atlantic","Bonnethead","Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Bonnethead - Gulf of Mexico","Bonnethead","Gulf of Mexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Bull shark - Atlantic and Gulf ofMexico","Bull shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Dusky shark - Atlantic and Gulf ofMexico","Dusky shark","Atlantic and Gulf ofMexico","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 13 of 100-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Gulf Smoothhound Complex","Gulf Smoothhound Complex",NA,"No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Longbill spearfish - Western Atlantic","Longbill spearfish","Western Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Nurse shark - Atlantic and Gulf ofMexico","Nurse shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Porbeagle - Northwestern Atlantic","Porbeagle","Northwestern Atlantic","No","Yes","NA","Continue Rebuilding","Year 13 of 100-year plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Prohibited Species","Prohibited Species",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Roundscale spearfish - Atlantic","Roundscale spearfish","Atlantic","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Sailfish - Western Atlantic","Sailfish","Western Atlantic","No","No - Rebuilding","No","Continue Rebuilding","Year 22 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Shortfin mako - North Atlantic","Shortfin mako","North Atlantic","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 2 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Silky shark - Atlantic and Gulf ofMexico","Silky shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Skipjack tuna - Western Atlantic","Skipjack tuna","Western Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Spinner shark - Atlantic and Gulf ofMexico","Spinner shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Swordfish - North Atlantic","Swordfish","North Atlantic","No","No","NA","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Thresher shark - Atlantic and Gulf ofMexico","Thresher shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Tiger shark - Atlantic and Gulf ofMexico","Tiger shark","Atlantic and Gulf ofMexico","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","White marlin - Atlantic","White marlin","Atlantic","No","Yes","No","Continue Rebuilding","Year 20 of plan",NA,NA
"Non-FSSI","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","Yellowfin tuna - Atlantic","Yellowfin tuna","Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","CFMC","Corals and Reef Associated Plants and Invertebrates of Puerto Rico and the United States Virgin Islands","Caribbean Aquarium Trade Plants andInvertebrates Species Complex","Caribbean Aquarium Trade Plants andInvertebrates Species Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Caribbean Aquarium Trade Reef FishSpecies Complex","Caribbean Aquarium Trade Reef FishSpecies Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Caribbean Groupers","Caribbean Groupers",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Caribbean Parrotfishes Complex","Caribbean Parrotfishes Complex",NA,"No","No","Yes","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Caribbean Snappers","Caribbean Snappers",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Caribbean Tilefishes Complex","Caribbean Tilefishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Goliath grouper - Caribbean","Goliath grouper","Caribbean","No","Yes","NA","Continue Rebuilding","Year 16 of 30-year plan",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Nassau grouper - Caribbean","Nassau grouper","Caribbean","No","Yes","NA","Continue Rebuilding","Year 16 of 25-year plan",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Angelfishes Complex","Puerto Rico Angelfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Boxfishes Complex","Puerto Rico Boxfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Goatfishes Complex","Puerto Rico Goatfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Grunts Complex","Puerto Rico Grunts Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Jacks Complex","Puerto Rico Jacks Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Scups and PorgiesComplex","Puerto Rico Scups and PorgiesComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Squirrelfishes Complex","Puerto Rico Squirrelfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Surgeonfishes Complex","Puerto Rico Surgeonfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","Puerto Rico Triggerfishes andFilefishes Complex","Puerto Rico Triggerfishes andFilefishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Angelfishes Complex","St. Croix Angelfishes Complex",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Boxfishes Complex","St. Croix Boxfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Goatfishes Complex","St. Croix Goatfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Grunts Complex","St. Croix Grunts Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Jacks Complex","St. Croix Jacks Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Scups and Porgies Complex","St. Croix Scups and Porgies Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Squirrelfishes Complex","St. Croix Squirrelfishes Complex",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Surgeonfishes Complex","St. Croix Surgeonfishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Triggerfishes and FilefishesComplex","St. Croix Triggerfishes and FilefishesComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Croix Wrasses Complex","St. Croix Wrasses Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John AngelfishesComplex","St. Thomas / St. John AngelfishesComplex",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John BoxfishesComplex","St. Thomas / St. John BoxfishesComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John GoatfishesComplex","St. Thomas / St. John GoatfishesComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John Grunts Complex","St. Thomas / St. John Grunts Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John Jacks Complex","St. Thomas / St. John Jacks Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John Scups andPorgies Complex","St. Thomas / St. John Scups andPorgies Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John SurgeonfishesComplex","St. Thomas / St. John SurgeonfishesComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John Triggerfishesand Filefishes Complex","St. Thomas / St. John Triggerfishesand Filefishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","St. Thomas / St. John WrassesComplex","St. Thomas / St. John WrassesComplex",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Coral and Coral Reefs of the Gulf of Mexico","Black corals (Antipatharia) - Gulf ofMexico","Black corals (Antipatharia)","Gulf ofMexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Coral and Coral Reefs of the Gulf of Mexico","Fire corals (Milleporidae) - Gulf ofMexico","Fire corals (Milleporidae)","Gulf ofMexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Coral and Coral Reefs of the Gulf of Mexico","Hydrocorals (Stylasteridae) - Gulf ofMexico","Hydrocorals (Stylasteridae)","Gulf ofMexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Coral and Coral Reefs of the Gulf of Mexico","Sea fans (Gorgonia spp.) - Gulf ofMexico","Sea fans (Gorgonia spp.)","Gulf ofMexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Coral and Coral Reefs of the Gulf of Mexico","Stony corals (Scleractinia) - Gulf ofMexico","Stony corals (Scleractinia)","Gulf ofMexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Red Drum Fishery of the Gulf of Mexico","Red drum - Gulf of Mexico","Red drum","Gulf of Mexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Cubera snapper - Gulf of Mexico","Cubera snapper","Gulf of Mexico","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Gulf of Mexico Deep Water GrouperComplex","Gulf of Mexico Deep Water GrouperComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Gulf of Mexico Jacks Complex","Gulf of Mexico Jacks Complex",NA,"Yes","Unknown","Unknown","Reduce Mortality","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Gulf of Mexico Mid-Water SnapperComplex","Gulf of Mexico Mid-Water SnapperComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Gulf of Mexico Shallow WaterGrouper Complex","Gulf of Mexico Shallow WaterGrouper Complex",NA,"Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","GMFMC","Reef Fish Resources of the Gulf of Mexico","Gulf of Mexico Tilefishes Complex","Gulf of Mexico Tilefishes Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","MAFMC","Mackerel, Squid and Butterfish","Atlantic chub mackerel - Mid-AtlanticCoast","Atlantic chub mackerel","Mid-AtlanticCoast","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","MAFMC","Tilefish","Blueline tilefish - Mid-Atlantic Coast","Blueline tilefish","Mid-Atlantic Coast","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NEFMC","Deep-Sea Red Crab","Red deepsea crab - NorthwesternAtlantic","Red deepsea crab","NorthwesternAtlantic","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Atlantic wolffish - Gulf of Maine /Georges Bank","Atlantic wolffish","Gulf of Maine /Georges Bank","No","Yes","NA","Continue Rebuilding","Year 11 of plan",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Ocean pout - Northwestern AtlanticCoast","Ocean pout","Northwestern AtlanticCoast","No","Yes","NA","Continue Rebuilding","Year 2 of 10-year plan",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Offshore hake - Northwestern AtlanticCoast","Offshore hake","Northwestern AtlanticCoast","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Red hake - Gulf of Maine / NorthernGeorges Bank","Red hake","Gulf of Maine / NorthernGeorges Bank","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Windowpane - Gulf of Maine /Georges Bank","Windowpane","Gulf of Maine /Georges Bank","No","Yes","NA","Continue Rebuilding","Year 2 of 10-year plan",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Windowpane - Southern New England/ Mid-Atlantic","Windowpane","Southern New England/ Mid-Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Multispecies","Yellowtail flounder - Georges Bank","Yellowtail flounder","Georges Bank","Yes","Yes","NA","Reduce Mortality, Continue Rebuilding","Year 15 of 26-year plan",NA,NA
"Non-FSSI","NEFMC","Northeast Skate Complex","Barndoor skate - Georges Bank /Southern New England","Barndoor skate","Georges Bank /Southern New England","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Skate Complex","Clearnose skate - Southern NewEngland / Mid-Atlantic","Clearnose skate","Southern NewEngland / Mid-Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Skate Complex","Rosette skate - Southern New England/ Mid-Atlantic","Rosette skate","Southern New England/ Mid-Atlantic","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Skate Complex","Smooth skate - Gulf of Maine","Smooth skate","Gulf of Maine","No","No","No","NA","NA",NA,NA
"Non-FSSI","NEFMC","Northeast Skate Complex","Thorny skate - Gulf of Maine","Thorny skate","Gulf of Maine","No","Yes","NA","Continue Rebuilding","Year 18 of 25-year plan",NA,NA
"Non-FSSI","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","Blue king crab - Pribilof Islands","Blue king crab","Pribilof Islands","No","Yes","NA","Continue Rebuilding","Year 6 of plan",NA,NA
"Non-FSSI","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","Blue king crab - Saint Matthew Island","Blue king crab","Saint Matthew Island","No","Yes","NA","Continue Rebuilding","Year 1 of 26-year plan",NA,NA
"Non-FSSI","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","Golden king crab - Pribilof Islands","Golden king crab","Pribilof Islands","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","Red king crab - Western AleutianIslands","Red king crab","Western AleutianIslands","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Fish Resources of the Arctic Management Area","Arctic cod - Arctic Management Area","Arctic cod","Arctic Management Area","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Fish Resources of the Arctic Management Area","Saffron cod - Arctic Management Area","Saffron cod","Arctic Management Area","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Fish Resources of the Arctic Management Area","Snow crab - Arctic Management Area","Snow crab","Arctic Management Area","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Bering Sea / Aleutian IslandsBlackspotted and Rougheye RockfishComplex","Bering Sea / Aleutian IslandsBlackspotted and Rougheye RockfishComplex",NA,"No","No","No","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Bering Sea / Aleutian Islands OctopusComplex","Bering Sea / Aleutian Islands OctopusComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Bering Sea / Aleutian Islands OtherFlatfish Complex","Bering Sea / Aleutian Islands OtherFlatfish Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Bering Sea / Aleutian Islands OtherRockfish Complex","Bering Sea / Aleutian Islands OtherRockfish Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Bering Sea / Aleutian Islands SharkComplex","Bering Sea / Aleutian Islands SharkComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Shortraker rockfish - Bering Sea /Aleutian Islands","Shortraker rockfish","Bering Sea /Aleutian Islands","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Atka mackerel - Gulf of Alaska","Atka mackerel","Gulf of Alaska","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Big skate - Gulf of Alaska","Big skate","Gulf of Alaska","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Gulf of Alaska Deepwater FlatfishComplex","Gulf of Alaska Deepwater FlatfishComplex",NA,"No","No","No","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Gulf of Alaska Octopus Complex","Gulf of Alaska Octopus Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Gulf of Alaska Other RockfishComplex","Gulf of Alaska Other RockfishComplex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Gulf of Alaska Shark Complex","Gulf of Alaska Shark Complex",NA,"No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Gulf of Alaska Skate Complex","Gulf of Alaska Skate Complex",NA,"No","Unknown","No","NA","NA",NA,NA
"Non-FSSI","NPFMC","Groundfish of the Gulf of Alaska","Longnose skate - Gulf of Alaska","Longnose skate","Gulf of Alaska","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","NPFMC","Salmon Fisheries in the EEZ off the Coast of Alaska","Alaska Coho Salmon Assemblage","Alaska Coho Salmon Assemblage",NA,"No","No","No","NA","NA",NA,NA
"Non-FSSI","NPFMC","Salmon Fisheries in the EEZ off the Coast of Alaska","Chinook salmon - Eastern NorthPacific Far North Migrating","Chinook salmon","Eastern NorthPacific Far North Migrating","No","No","No","NA","NA",NA,NA
"Non-FSSI","NPFMC","Scallop Fishery off Alaska","Weathervane scallop - Alaska","Weathervane scallop","Alaska","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","PFMC","Coastal Pelagic Species","Jack mackerel - Pacific Coast","Jack mackerel","Pacific Coast","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","PFMC","Coastal Pelagic Species","Krill (Euphausiacea) - Pacific Coast","Krill (Euphausiacea)","Pacific Coast","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","PFMC","Coastal Pelagic Species","Northern anchovy - Northern PacificCoast","Northern anchovy","Northern PacificCoast","No","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","PFMC","Coastal Pelagic Species","Opalescent inshore squid - PacificCoast","Opalescent inshore squid","PacificCoast","Unknown","Unknown","Unknown","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","Black rockfish - Washington","Black rockfish","Washington","No","No","No","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","China rockfish - Central Pacific Coast","China rockfish","Central Pacific Coast","Unknown","No","No","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","China rockfish - Northern PacificCoast","China rockfish","Northern PacificCoast","Unknown","No","No","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","China rockfish - Southern Pacific Coast","China rockfish","Southern Pacific Coast","Unknown","No","No","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","Copper rockfish - Pacific Coast","Copper rockfish","Pacific Coast","Unknown","No","No","NA","NA",NA,NA
"Non-FSSI","PFMC","Pacific Coast Groundfish","Greenspotted rockfish - Pacific Coast","Greenspotted rockfish","Pacific Coast","Unknown","No","No","NA","NA",NA,NA
